Date,Open,High,Low,Close,Adj Close,Volume
8/9/2017,100.709999,103,100.5,102.830002,102.830002,27877600
8/10/2017,102.5,102.82,101.220001,101.349998,101.349998,12259900
8/11/2017,101.25,102.510002,101.029999,101.989998,101.989998,9410400
8/14/2017,102.800003,102.809998,101.260002,101.400002,101.400002,9584000
8/15/2017,101.629997,102.099998,101.360001,101.510002,101.510002,8868500
8/16/2017,101.839996,102.650002,101.720001,102.199997,102.199997,6698800
8/17/2017,102.239998,102.589996,101.339996,101.379997,101.379997,6612400
8/18/2017,101.32,101.739998,100.660004,100.699997,100.699997,6893900
8/21/2017,100.639999,101.419998,100.529999,101.169998,101.169998,6492700
8/22/2017,101.410004,102.910004,101.169998,102.769997,102.769997,6888700
8/23/2017,102.480003,102.980003,101.480003,101.5,101.5,5954400
8/24/2017,101.82,102.029999,101.43,101.519997,101.519997,6976600
8/25/2017,101.690002,102.690002,101.559998,102.410004,102.410004,6186900
8/28/2017,102.489998,102.849998,102.080002,102.559998,102.559998,5630400
8/29/2017,102,102.989998,101.82,102.57,102.57,6011700
8/30/2017,102.480003,103.449997,102.480003,102.870003,102.870003,6573200
8/31/2017,103,103.190002,101,101.199997,101.199997,9823800
9/1/2017,101.650002,101.919998,101.360001,101.5,101.5,7827400
9/5/2017,102,102.550003,100.900002,101.599998,101.599998,9346100
9/6/2017,101.760002,102.040001,100.889999,101.5,101.5,7531000
9/7/2017,101.550003,101.860001,96.199997,97.059998,97.059998,26419400
9/8/2017,96.489998,97.489998,96.260002,97.07,97.07,13147700
9/11/2017,97.900002,98.019997,96.959999,97.089996,97.089996,9610300
9/12/2017,97.589996,98.360001,97.129997,97.889999,97.889999,9151700
9/13/2017,98.239998,98.949997,98.019997,98.82,98.82,7615300
9/14/2017,98.790001,98.839996,97.540001,97.900002,97.900002,9710000
9/15/2017,98.050003,98.93,98,98.519997,98.519997,23870300
9/18/2017,98.389999,98.720001,97.720001,98.099998,98.099998,7013600
9/19/2017,98.230003,98.669998,98.080002,98.43,98.43,6970300
9/20/2017,98.760002,99.279999,98.620003,99.209999,99.209999,6459100
9/21/2017,99.190002,99.389999,98.75,98.889999,98.889999,4958000
9/22/2017,98.550003,98.989998,98.529999,98.599998,98.599998,6359100
9/25/2017,98.599998,99.650002,98.419998,99.57,99.57,7492500
9/26/2017,99.639999,99.739998,98.610001,98.629997,98.629997,6220500
9/27/2017,98.970001,99.529999,98.019997,99.239998,99.239998,7596600
9/28/2017,98.769997,99.050003,98,98.050003,98.050003,7149600
9/29/2017,97.889999,98.589996,97.660004,98.57,98.57,8185900
10/2/2017,99.309998,100.440002,99.110001,99.860001,99.860001,6923300
10/3/2017,100.050003,100.849998,99.910004,100.790001,100.790001,5447700
10/4/2017,100.739998,100.93,100.199997,100.550003,100.550003,5126100
10/5/2017,100.639999,100.870003,100.019997,100.110001,100.110001,4736700
10/6/2017,99.949997,100.269997,99.339996,100.07,100.07,4360200
10/9/2017,100.809998,100.980003,99.449997,99.57,99.57,5429600
10/10/2017,99.989998,100.07,98.660004,99.580002,99.580002,7704400
10/11/2017,99.580002,99.580002,98.050003,98.550003,98.550003,7984000
10/12/2017,97.559998,97.82,96.809998,96.93,96.93,11018200
10/13/2017,96.800003,97.68,96.800003,97.379997,97.379997,6858000
10/16/2017,97.639999,98.269997,97.540001,98.129997,98.129997,4911600
10/17/2017,98.400002,98.470001,97.860001,98.360001,98.360001,5942500
10/18/2017,98.360001,98.489998,97.550003,98.25,98.25,5404300
10/19/2017,98.190002,99.300003,98.110001,99.010002,99.010002,5634300
10/20/2017,99.449997,99.660004,98.940002,99.400002,99.400002,5938700
10/23/2017,99.120003,99.18,98.629997,98.699997,98.699997,5888200
10/24/2017,98.519997,98.860001,98.059998,98.290001,98.290001,4966200
10/25/2017,98.050003,98.220001,97.449997,97.800003,97.800003,5144400
10/26/2017,97.580002,99.480003,97.25,98.559998,98.559998,6167500
10/27/2017,97.900002,98.360001,96.889999,98.309998,98.309998,7868700
10/30/2017,98.120003,98.330002,97.699997,98.040001,98.040001,7093200
10/31/2017,97.940002,98.089996,97.379997,97.809998,97.809998,5701700
11/1/2017,98.129997,99.459999,98,99.029999,99.029999,6920400
11/2/2017,98.870003,99.120003,98.019997,98.349998,98.349998,6799200
11/3/2017,98.360001,99.379997,97.900002,98.639999,98.639999,5416900
11/6/2017,98.370003,101.129997,98.349998,100.639999,100.639999,14728700
11/7/2017,101.290001,102.900002,100.739998,101.610001,101.610001,12177500
11/8/2017,101.879997,102,100.419998,101.18,101.18,8023200
11/9/2017,100.830002,103.910004,100.800003,102.68,102.68,13172500
11/10/2017,104.989998,106.239998,104.080002,104.779999,104.779999,16701500
11/13/2017,104.139999,105.139999,103.980003,104.739998,104.739998,7856000
11/14/2017,104.57,104.57,103,103.169998,103.169998,6929300
11/15/2017,102.75,103.959999,102.449997,103.690002,103.690002,5691500
11/16/2017,103.629997,103.980003,102.760002,103.599998,103.599998,6410900
11/17/2017,103.220001,103.989998,102.970001,103.440002,103.440002,7500800
11/20/2017,103.419998,103.419998,102.699997,102.75,102.75,5112600
11/21/2017,102.970001,103.169998,102.790001,103,103,5725900
11/22/2017,103.220001,103.32,102.690002,102.739998,102.739998,4140700
11/24/2017,102.910004,102.919998,102.449997,102.639999,102.639999,2217600
11/27/2017,102.629997,102.970001,102.379997,102.790001,102.790001,4007500
11/28/2017,102.559998,103.879997,102.169998,103.410004,103.410004,8401100
11/29/2017,103.5,106.260002,103.43,105.239998,105.239998,14503100
11/30/2017,105.360001,105.709999,104.470001,104.82,104.82,9949000
12/1/2017,104.580002,105.849998,103.870003,105.25,105.25,9258400
12/4/2017,106.5,112.669998,106.5,110.220001,110.220001,17824000
12/5/2017,109.529999,110.040001,106.519997,107.220001,107.220001,13055600
12/6/2017,107.169998,107.989998,105.360001,105.459999,105.459999,8052900
